SORTER,mother,father,telo.change,telo0ln,year,sex,hatch.order,clutchsize,median.hatch.date,maternal.age,growth.rate,days.between,mass.at.first.measure,age.at.first.measure,paternal.age,mass.at.first.measurement,age.at.first.measurement
7,YZNF,RLIS,-0.085,0.0723206615796261,2010,1,2,4,-5,9,45.95,31,35,0,9,35,0
253,RHXB,RDPN,-0.0860000000000001,0.184818436992542,2011,1,2,3,1,11,56.1111111111111,28,38.5,0,11,38.5,0
352,GSHS,WLNP,0.088,-0.631111789640493,2011,1,3,4,4,3,53.6111111111111,26,36,0,8,36,0
326,RLNL,GLUX,0.091,0.0256677467485778,2011,1,1,3,-3,13,60.1470588235294,27,36,1,10,36,1
336,GXUH,GSIJ,-0.093,-0.63487827243597,2011,1,1,3,-3,3,51.0294117647059,28,31.1,0,3,31.1,0
251,GBAC,RXLF,0.097,0.0554347068881005,2011,1,2,3,5,5,51.9444444444444,27,41,2,2,41,2
335,RNDI,1398954,-0.0970000000000001,-0.0790432073404529,2011,1,2,3,-6,10,57.2368421052632,28,40.5,1,NA,NA,NA
327,RLNL,GLUX,0.101,0.0158733491562902,2011,1,3,3,-2,13,54.5588235294118,27,45.5,0,10,45.5,0
99,WLPT,RDUX,-0.103,0.670390193437329,2010,2,3,3,4,7,52.91,23,92.2,2,9,92.2,2
254,RHXB,RDPN,-0.104,-0.512493680866688,2011,1,3,3,2,11,53.6111111111111,27,38,0,11,38,0
201,WLUC,WLNP,-0.109,-0.132389188045746,2010,1,1,4,-8,7,54.2105263157895,29,42.6,1,7,42.6,1
207,RNSB,RLNB,-0.11,0.198850858745165,2010,1,3,3,0,8,48.965,26,64.9,1,7,64.9,1
320,GSJH,RXJZ,-0.112,-0.185125484126689,2011,1,3,4,8,3,51.8421052631579,24,34.5,1,NA,NA,NA
238,GLLA,RHDN,-0.117,-0.360969868221613,2011,1,1,3,-1,10,55.4166666666667,30,40,1,NA,NA,NA
192,RIFL,RDUT,-0.126,-0.310609577095486,2010,2,2,3,-1,13,NA,26,41.7,0,13,41.7,0
322,RIDL,WHNL,0.128,-0.318828801448618,2011,2,1,3,-3,12,54.1666666666667,28,41.5,1,7,41.5,1
345,GABA,RFAT,0.132,-0.393042588109607,2011,1,3,3,-4,12,53.4722222222222,27,NA,1,NA,NA,NA
6,GBHI,RNPB,-0.141,-0.218156009803171,2010,2,3,3,-4,4,58.065,28,42.1,1,7,42.1,1
369,GZCJ,GSUA,-0.149,-0.536143431750281,2011,2,2,3,-8,3,64.1176470588235,27,33,1,3,33,1
245,RLJA,RHXJ,-0.162,-0.34389975245001,2011,2,3,3,4,8,NA,NA,39,0,NA,NA,NA
34,RLJA,RHXJ,-0.163,-0.275753501586507,2010,2,1,3,2,7,56.8466666666667,28,43,1,NA,NA,NA
358,WCSN,RLJZ,0.168,-0.20089294237939,2011,2,2,3,7,8,69.3055555555556,27,57.5,2,NA,NA,NA
331,BHTJ,RICL,0.173,-0.471604910612709,2011,1,2,3,-6,9,64.8684210526316,29,35.5,1,14,35.5,1
288,RNBS,RLNB,-0.181,0.339325305603619,2011,2,1,3,-6,9,33.6842105263158,28,55.5,2,NA,NA,NA
355,RHXC,RNSF,-0.182,-0.0790432073404529,2011,2,2,3,-1,9,56.5277777777778,26,47.5,1,10,47.5,1
287,GLSF,RLNC,-0.187,0.369492447649347,2011,1,2,3,1,10,54.4736842105263,28,37,0,15,37,0
386,GSJJ,RPFP,0.188,-0.180323554131282,2011,NA,1,4,4,3,51.3888888888889,28,39,0,3,39,0
283,RIBS,RHCT,-0.194,-0.302457358033935,2011,1,1,3,-8,10,47.9166666666667,28,41,0,NA,NA,NA
276,RNXA,RXHP,0.198,-0.632993257740198,2011,2,3,3,-4,8,58.5,30,36,0,NA,NA,NA
324,RIDL,WHNL,-0.204,0.0554347068881005,2011,1,3,3,-1,12,53.6111111111111,27,44,0,7,44,0
8,YZNF,RLIS,-0.209,0.204572165728774,2010,2,1,4,-5,9,59.085,31,35.3,0,9,35.3,0
281,RNSA,WXDB,-0.212,-0.12897038129696,2011,1,3,3,3,4,47.5,25,35,0,5,35,0
329,WLPT,RNTZ,0.218,-0.263965545834465,2011,2,1,3,-1,8,64.5588235294118,26,45.5,0,NA,NA,NA
383,RNHB,RFTD,-0.223,-0.0812100554255432,2011,2,1,3,0,4,77.3809523809524,31,NA,1,NA,NA,NA
38,WPDH,RLFD,0.225,-0.796287939479459,2010,2,1,4,3,7,47.28,29,41.7,0,NA,NA,NA
96,RLLZ,RLLH,0.226,0.360467742177429,2010,1,1,3,-11,5,48.97,30,42.3,1,9,42.3,1
351,GSHS,WLNP,0.231,-0.818710403535291,2011,1,2,4,3,3,50,26,37,1,8,37,1
337,GXUH,GSIJ,-0.247,-0.131248286609954,2011,2,3,3,-1,3,63.3823529411765,26,36,0,3,36,0
354,RHXC,RNSF,-0.253,0.476234178996372,2011,1,1,3,-2,9,41.6666666666667,27,36,1,10,36,1
202,WLUC,WLNP,-0.254,-0.278392025544688,2010,1,2,4,-6,7,51.0315789473684,28,37.5,0,7,37.5,0
95,WFHD,RHTD,0.263,-0.122167633974208,2010,2,3,3,3,10,NA,26,45.3,1,16,45.3,1
315,RHAZ,RLIZ,-0.299,-0.0304592074847086,2011,2,3,3,11,15,58.8888888888889,26,40,1,11,40,1
39,BHAL,RIDU,-0.31,0.0751074724868055,2010,1,2,3,-1,8,NA,27,48.2,1,3,48.2,1
284,RIBS,RHCT,-0.31,0.383219499160845,2011,1,2,3,-7,10,49.7222222222222,27,38.5,0,NA,NA,NA
264,GSTC,BNLL,0.313,-0.00904074465214907,2011,1,3,2,11,3,51.4473684210526,25,30,0,2,30,0
286,GLSF,RLNC,-0.344,0.117783035656383,2011,2,1,3,0,10,62.8947368421053,29,37,0,15,37,0
81,GLSF,RLNC,0.355,-0.802962046567152,2010,2,3,4,2,9,54.3454545454545,29,34.2,1,14,34.2,1
80,RLLD,RHIJ,-0.362,-0.27312192112045097,2010,1,1,3,3,7,51.4,28,42.3,1,7,42.3,1
259,WFFL,RICT,-0.368,-0.0693500781347932,2011,2,2,3,-8,11,64.8611111111111,28,41,0,13,41,0
382,RXLU,GSNF,0.375,-0.3078847797693,2011,2,1,3,7,3,56.0526315789474,30,48,1,3,48,1
328,WLPT,RNTZ,-0.406,0.39068982252601,2011,2,2,3,-3,8,65.4411764705882,28,46,0,NA,NA,NA
190,WSNF,RLIL,-0.426,0.059211859631846,2010,2,1,3,1,4,60.1785714285714,27,43.3,0,13,43.3,0
334,RNDI,1398954,-0.438,0.344298672870677,2011,2,3,3,-6,10,61.0526315789474,29,37.5,0,NA,NA,NA
141,RHBA,GHSF,-0.444,0.191446464570955,2010,2,1,3,-4,7,NA,NA,47.8,1,9,47.8,1
370,GZCJ,GSUA,0.447,-0.0736465401682985,2011,2,1,3,-8,3,41.0294117647059,27,33,1,3,33,1
297,RLLZ,RLLH,-0.452,0.0989399478549036,2011,2,3,3,-10,6,64.4444444444444,27,38,0,10,38,0
385,RNHB,RFTD,0.475,-0.512493680866688,2011,1,3,3,2,4,76.1904761904762,29,NA,1,NA,NA,NA
